question,category,expected_section,retrieved_sections,retrieved_titles,retrieved_scores,top_1_hit,top_3_hit,top_5_hit,first_matching_rank,reciprocal_rank
What is registration management?,mobility,5.3.2,5.3.1 | 5.5.1 | 5.3.2.3 | 5.3.2.1 | 6.2.7,General | Registration Management | Registration Area management | General | UDM,0.992566 | 0.318851 | 0.017817 | 0.013020 | 0.007373,False,True,True,3,0.3333333333333333
What is connection management?,mobility,5.3.3,5.3.3.1 | 5.3.1 | 5.3.3.3.1 | 5.5.2 | 5.31.6,General | General | General | Connection Management | Reliable Data Service,0.960077 | 0.864128 | 0.323263 | 0.016111 | 0.007990,True,True,True,1,1.0
How does mobility registration update work?,mobility,5.3.2,5.15.5.2.2 | 5.38.5 | 5.4.11.6 | 5.38.6 | 5.3.2.2.3,Modification of the Set of Network Slice(s) for a UE | Paging Restriction | Support of Mobility Registration Update | Paging Timing Collision Control | RM-REGISTERED state,0.946319 | 0.921237 | 0.903512 | 0.878869 | 0.855784,False,False,True,5,0.2
What is a PDU Session?,session-management,5.6.1,5.6.1 | 5.6.4.3 | 5.32.1 | 5.10.3 | 5.6.10.3,Overview | Usage of IPv6 multi-homing for a PDU Session | General | PDU Session User Plane Security | Support of Unstructured PDU Session type,0.908686 | 0.904242 | 0.796402 | 0.743444 | 0.417739,True,True,True,1,1.0
How is a PDU Session established?,session-management,5.6,5.15.5.3 | 5.32.2 | 5.6.8 | 5.6.1 | 5.6.13,Establishing a PDU Session in a Network Slice | Multi Access PDU Sessions | Selective activation and deactivation of UP connection of existing PDU Session | Overview | Always-on PDU Session,0.977578 | 0.919716 | 0.915532 | 0.886005 | 0.827785,False,True,True,3,0.3333333333333333
What is network slicing?,network-slicing,5.15,5.15.8 | 3.1 | 5.18.5 | 5.15.18.1 | 5.15.5.2.2,Configuration of Network Slice support and availability in a PLMN | Definitions | Network Sharing and Network Slicing | General | Modification of the Set of Network Slice(s) for a UE,0.914642 | 0.908539 | 0.890205 | 0.710563 | 0.527027,True,True,True,1,1.0
What is an S-NSSAI?,network-slicing,5.15.2,5.15.2.1 | 5.15.4.1.1 | 5.19.7.4 | 3.1 | 5.15.17,General | UE Network Slice configuration | S-NSSAI based congestion control | Definitions | Partial Network Slice support in a Registration Area,0.865204 | 0.449745 | 0.336308 | 0.326175 | 0.154015,True,True,True,1,1.0
How does roaming work in the 5G System?,roaming,5.34.2.3,5.34.2.3 | 5.40.2 | 1 | 5.18.1 | 5.31.1,Roaming architecture | UE configuration and provisioning for Disaster Roaming | Scope | General concepts | General,0.660886 | 0.531450 | 0.448269 | 0.235532 | 0.097868,True,True,True,1,1.0
What is service-based architecture?,architecture,4.2.3,4.2.1 | 4.1 | 4.2.6 | 7.1.1 | 4.2.3,General | General concepts | Service-based interfaces | General | Non-roaming reference architecture,0.931342 | 0.182962 | 0.115238 | 0.035244 | 0.034451,False,False,True,5,0.2
What are the main 5G System architecture principles?,architecture,4.2,4.1 | 1 | 4.2.2 | 4.2.1 | 5.18.1,General concepts | Scope | Network Functions and entities | General | General concepts,0.996148 | 0.829986 | 0.742291 | 0.490472 | 0.453541,False,True,True,3,0.3333333333333333
